Issue Type,Issue key,Issue id,Summary,Description,Status,Created,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Resolution,Updated,Labels,Labels,Labels,Due date,Custom field (Begin Date),Sprint,Sprint,Parent,Parent summary
Test Bug,IR-1412,64477,Guided Sale : Text is not reflecting properly ,"Text is not reflecting properly when sending from the chat section after connected with agent happening when sending text without space 

!image-20241226-140132.png|width=1596,height=871,alt=""image-20241226-140132.png""!

!image-20241226-140143.png|width=1920,height=818,alt=""image-20241226-140143.png""!",IN CODE REVIEW,26/Dec/24 9:05 AM,Debiprasad Dash,712020:36ba4a52-ed6c-456b-9d6c-0862889d1c1f,Gaurav Biyani,712020:644ea5a5-5969-44af-a95f-20953bc576c5,Medium,,26/Dec/24 9:53 AM,,,,26/Dec/24 12:00 AM,,Release_0014,,62680,IRIS I Guided Sales
Regression Bug,IR-1411,64476,Guided Sale : Agent is not able to place the order for the patient or guest user,"Agent is not able to place the order for the patient or guest user in both the domains and getting below error

[https://pilot.myeyelabfranchise.com/|https://pilot.myeyelabfranchise.com/|smart-link] 

[https://www.myeyelabfranchise.com/|https://www.myeyelabfranchise.com/|smart-link]    



!image-20241226-133112.png|width=1044,height=575,alt=""image-20241226-133112.png""!",In Progress,26/Dec/24 8:32 AM,Varun Kumar Tomar,63c4c124bfdb647eb1d94d1c,Gaurav Biyani,712020:644ea5a5-5969-44af-a95f-20953bc576c5,Highest,,26/Dec/24 10:09 AM,,,,26/Dec/24 12:00 AM,,Release_0014,,62680,IRIS I Guided Sales
Sub-task,IR-1405,64469,8.2 Release_0014 - Production Deployment - End User/Business validation,,To Do,26/Dec/24 2:17 AM,Kaydi Gulick,557058:16eb11f4-8e61-44b7-b17d-3a7f6c12df1c,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
Sub-task,IR-1404,64468,8.1 Release_0014 - Production Deployment - PROD verification and Signoff,,To Do,26/Dec/24 2:17 AM,Ram Kumar,6322f87404903f8118c3b16b,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
Sub-task,IR-1403,64467,7.5 Release_0014 - Production Deployment - Production Deployment - Index Script Execution on IRIS DB (Manual Execution for Heavy/Time Consuming) Indexes,,To Do,26/Dec/24 2:17 AM,Soumen Bose,712020:e167c732-8ced-40f1-9937-dd5eecf1c665,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
Sub-task,IR-1402,64466,7.4 Release_0014 - Production Deployment -  Flush Redis,,To Do,26/Dec/24 2:17 AM,Soumen Bose,712020:e167c732-8ced-40f1-9937-dd5eecf1c665,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
Sub-task,IR-1401,64465,7.3 Release_0014 - Production Deployment - Set MaxDOP to 16 for database,,To Do,26/Dec/24 2:17 AM,Amit Kumar,712020:36744825-4fb7-42d6-8e26-fc9ae0a08869,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
Sub-task,IR-1400,64464,7.2 Release_0014 - Production Deployment - Data Folder SQL Script Execution,,To Do,26/Dec/24 2:17 AM,Amit Kumar,712020:36744825-4fb7-42d6-8e26-fc9ae0a08869,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
Sub-task,IR-1399,64463,7.1 Release_0014 - Production Deployment- Code Deployment in PROD,,To Do,26/Dec/24 2:17 AM,Adarsh Yadav,712020:f42cb547-2911-45dd-8430-edc80e91a606,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
Sub-task,IR-1398,64462,6. Release_0014 - Production Deployment - Backend Configuration,,To Do,26/Dec/24 2:17 AM,Amit Kumar,712020:36744825-4fb7-42d6-8e26-fc9ae0a08869,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
Sub-task,IR-1397,64461,5. Release_0014 - Production Deployment - DB Backup,,To Do,26/Dec/24 2:17 AM,Soumen Bose,712020:e167c732-8ced-40f1-9937-dd5eecf1c665,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
Sub-task,IR-1396,64460,4.3 Release_0014 - Production Deployment - Release Tagging Creation & Validation,,To Do,26/Dec/24 2:17 AM,Neha Rustagi,557058:4f83ac2d-02af-482b-982e-87dddb04906d,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
Sub-task,IR-1395,64459,4.2 Release_0014 - Production Deployment - Code Merge (Frontend),,To Do,26/Dec/24 2:17 AM,Ayush Singh,63c4c18ce28ec74364cba274,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
Sub-task,IR-1394,64458,4.1 Release_0014 - Production Deployment - Code Merge (Backend),,To Do,26/Dec/24 2:17 AM,Sumit Singh,557058:d4c0e691-6e6d-40a8-89ce-f163bad9d100,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Medium,,26/Dec/24 2:17 AM,Deployment,,,02/Jan/25 12:00 AM,,Release_0014,,64453,Release_0014 - Production Deployment
